business_name,neighborhood,rating,reviews,yelp_url,category
Skyview Dentistry,Uptown,4.8,151,/biz/skyview-dentistry-charlotte,General Dentistry
Southpark Oral Surgery,SouthPark,4.8,63,/biz/southpark-oral-surgery-charlotte,Oral Surgeons
Charlotte Emergency Dental,Charlotte,3.8,56,/biz/charlotte-emergency-dental-charlotte,General Dentistry
Ayrsley Family Dentistry,Steele Creek,4.3,46,/biz/ayrsley-family-dentistry-charlotte,General Dentistry
Ballantyne Dentistry,Ballantyne,4.1,34,/biz/ballantyne-dentistry-charlotte,Cosmetic Dentists
Pineville Dentistry,Charlotte,4.8,26,/biz/pineville-dentistry-charlotte,General Dentistry
Dentistry of the Carolinas - SouthPark,SouthPark,3.5,26,/biz/dentistry-of-the-carolinas-southpark-charlotte,General Dentistry
Holt Family Dentistry,Ballantyne,4.6,25,/biz/holt-family-dentistry-charlotte,General Dentistry
Merlo & Fahrney Dentistry,Myers Park,5.0,22,/biz/merlo-and-fahrney-dentistry-charlotte,General Dentistry
Dasling Dentistry,University City,4.1,21,/biz/dasling-dentistry-charlotte,Cosmetic Dentists
